"","ISO_A0","adjusted_year","cases","full_name","continent","label_y","hemisphere","join","total_missing","YearN","YearN2","YearN3","YearN4","population_total","ave_cases","avg_inc","YearN_continent","YearN_country","offset1","country","countryID","continentID"
"72","ATG",1991,1,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 1991",8,2,2,2,2,63387,70.2857142857143,77.7830472830165,"Caribbean_2","ATG_2",0.63387,"ATG",3,2
"73","ATG",1992,0,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 1992",8,3,3,3,3,64404,70.2857142857143,77.7830472830165,"Caribbean_3","ATG_3",0.64404,"ATG",3,2
"74","ATG",1993,0,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 1993",8,4,4,4,4,65587,70.2857142857143,77.7830472830165,"Caribbean_4","ATG_4",0.65587,"ATG",3,2
"75","ATG",1994,0,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 1994",8,5,5,5,5,66843,70.2857142857143,77.7830472830165,"Caribbean_5","ATG_5",0.66843,"ATG",3,2
"76","ATG",1995,56,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 1995",8,6,6,6,6,68189,70.2857142857143,77.7830472830165,"Caribbean_6","ATG_6",0.68189,"ATG",3,2
"77","ATG",1996,12,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 1996",8,7,7,7,7,69612,70.2857142857143,77.7830472830165,"Caribbean_7","ATG_7",0.69612,"ATG",3,2
"78","ATG",1997,7,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 1997",8,8,8,8,8,71053,70.2857142857143,77.7830472830165,"Caribbean_8","ATG_8",0.71053,"ATG",3,2
"79","ATG",1998,4,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 1998",8,9,9,9,9,72412,70.2857142857143,77.7830472830165,"Caribbean_9","ATG_9",0.72412,"ATG",3,2
"80","ATG",1999,2,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 1999",8,10,10,10,10,73666,70.2857142857143,77.7830472830165,"Caribbean_10","ATG_10",0.73666,"ATG",3,2
"81","ATG",2000,8,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2000",8,11,11,11,11,74912,70.2857142857143,77.7830472830165,"Caribbean_11","ATG_11",0.74912,"ATG",3,2
"82","ATG",2001,20,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2001",8,12,12,12,12,76069,70.2857142857143,77.7830472830165,"Caribbean_12","ATG_12",0.76069,"ATG",3,2
"83","ATG",2002,5,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2002",8,13,13,13,13,77032,70.2857142857143,77.7830472830165,"Caribbean_13","ATG_13",0.77032,"ATG",3,2
"84","ATG",2003,0,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2003",8,14,14,14,14,77884,70.2857142857143,77.7830472830165,"Caribbean_14","ATG_14",0.77884,"ATG",3,2
"85","ATG",2004,0,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2004",8,15,15,15,15,78719,70.2857142857143,77.7830472830165,"Caribbean_15","ATG_15",0.78719,"ATG",3,2
"86","ATG",2005,0,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2005",8,16,16,16,16,79611,70.2857142857143,77.7830472830165,"Caribbean_16","ATG_16",0.79611,"ATG",3,2
"87","ATG",2006,0,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2006",8,17,17,17,17,80604,70.2857142857143,77.7830472830165,"Caribbean_17","ATG_17",0.80604,"ATG",3,2
"88","ATG",2007,0,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2007",8,18,18,18,18,81704,70.2857142857143,77.7830472830165,"Caribbean_18","ATG_18",0.81704,"ATG",3,2
"89","ATG",2008,17,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2008",8,19,19,19,19,82912,70.2857142857143,77.7830472830165,"Caribbean_19","ATG_19",0.82912,"ATG",3,2
"90","ATG",2009,2,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2009",8,20,20,20,20,84173,70.2857142857143,77.7830472830165,"Caribbean_20","ATG_20",0.84173,"ATG",3,2
"91","ATG",2010,3,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2010",8,21,21,21,21,85320,70.2857142857143,77.7830472830165,"Caribbean_21","ATG_21",0.8532,"ATG",3,2
"92","ATG",2011,7,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2011",8,22,22,22,22,86332,70.2857142857143,77.7830472830165,"Caribbean_22","ATG_22",0.86332,"ATG",3,2
"93","ATG",2012,10,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2012",8,23,23,23,23,87260,70.2857142857143,77.7830472830165,"Caribbean_23","ATG_23",0.8726,"ATG",3,2
"94","ATG",2013,3,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2013",8,24,24,24,24,88064,70.2857142857143,77.7830472830165,"Caribbean_24","ATG_24",0.88064,"ATG",3,2
"95","ATG",2014,37,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2014",8,25,25,25,25,88765,70.2857142857143,77.7830472830165,"Caribbean_25","ATG_25",0.88765,"ATG",3,2
"96","ATG",2015,14,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2015",8,26,26,26,26,89409,70.2857142857143,77.7830472830165,"Caribbean_26","ATG_26",0.89409,"ATG",3,2
"97","ATG",2016,103,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 2016",8,27,27,27,27,89969,70.2857142857143,77.7830472830165,"Caribbean_27","ATG_27",0.89969,"ATG",3,2
